Site,CollectionDate,Month,Year,SampleID,Length,WetGonadicMass,WetSomaticMass,WetTotalMass,WGSI,DryGonadicMass,DrySomaticMass,DryShellMass,DryTotalMass,DGSI,PelletMass,CalGram,CalMus,UnburnedFuse,FuseEnergy,Notes
Seward,2015-08-13,August,2015,M209,40,0.1752,1.083,1.2582,13.9247,0.0215,0.1213,2.035,0.1428,15.056,.,.,.,.,.,
Seward,2015-09-15,September,2015,M210,38,0.168,1.0918,1.2598,13.3355,.,.,3.0299,.,.,.,.,.,.,.,
Seward,2015-09-15,September,2015,M211,38,0.1022,1.1852,1.2874,7.9385,.,.,2.0698,.,.,.,.,.,.,.,
Seward,2015-09-15,September,2015,M212,35,0.1135,0.8694,0.9829,11.5475,.,.,1.3104,.,.,.,.,.,.,.,
Seward,2015-09-15,September,2015,M213,32,0.1549,0.7688,0.9237,16.7695,.,.,2.052,.,.,.,.,.,.,.,
Seward,2015-09-15,September,2015,M214,35,0.2332,1.0638,1.297,17.98,.,.,2.5609,.,.,.,.,.,.,.,
Seward,2015-04-28,April,2015,M215,34,0.2211,0.7846,1.0057,21.9847,.,.,2.1039,.,.,.,.,.,.,.,
Seward,2015-04-28,April,2015,M216,35,0.2776,0.7565,1.0341,26.8446,.,.,1.2539,.,.,.,.,.,.,.,
Seward,2015-04-28,April,2015,M217,36,0.3658,0.8391,1.2049,30.3594,.,.,2.5589,.,.,.,.,.,.,.,
Seward,2015-04-28,April,2015,M218,35,0.2534,0.7863,1.0397,24.3724,.,.,1.9014,.,.,.,.,.,.,.,
Seward,2015-04-28,April,2015,M219,40,0.1188,0.9219,1.0407,11.4154,.,.,2.0836,.,.,.,.,.,.,.,
Seward,2015-08-13,August,2015,M220,35,0.104,0.7421,0.8461,12.2917,0.0129,0.0993,1.3658,0.1122,11.4973,.,.,.,.,.,
Seward,2015-08-13,August,2015,M221,34,0.1454,0.65,0.7954,18.2801,0.0188,0.0934,1.3312,0.1122,16.7558,.,.,.,.,.,
Seward,2015-08-13,August,2015,M222,34,0.0959,0.6779,0.7738,12.3934,0.0117,0.1064,1.0377,0.1181,9.9069,0.1138,.,.,.,.,
Seward,2015-08-13,August,2015,M223,35,0.1221,0.6721,0.7942,15.374,0.0117,0.0898,1.4532,0.1015,11.5271,0.0907,4526.88,459.48,.,.,
Seward,2015-09-15,September,2015,M224,30,0.1488,0.4125,0.5613,26.5099,.,.,1.3182,.,.,0.0745,.,.,.,.,
Seward,2015-09-15,September,2015,M225,29,0.1546,0.4837,0.6383,24.2206,.,.,1.4481,.,.,0.0919,.,.,.,.,
Seward,2015-09-15,September,2015,M226,30,0.1499,0.4162,0.5661,26.4794,.,.,1.0787,.,.,0.0777,.,.,.,.,
Seward,2015-09-15,September,2015,M227,35,0.2485,0.8674,1.1159,22.269,.,.,2.0354,.,.,0.1839,.,.,.,.,
Seward,2015-09-15,September,2015,M228,31,0.0888,0.6679,0.7567,11.7352,0.0149,0.0961,1.5809,0.111,13.4118,0.0918,4324.17,479.94,.,.,"Sample was not weighed after freeze drying. Dry mass values were generated using linear regression coefficients from other samples (n=351): DrySomaticMass=0.11083344*WetSomaticMass+0.02207937, DryGonadicMass=0.1730104234*WetGonadicMass-0.0004774407"
Seward,2015-03-21,March,2015,M229,36,0.0892,0.4105,0.4997,17.8507,0.0067,0.0441,2.656,0.0508,13.189,0.0521,.,.,.,.,
Seward,2015-03-21,March,2015,M230,36,0.0976,0.5001,0.5977,16.3293,0.0099,0.0638,1.9582,0.0737,13.4328,0.0735,.,.,.,.,
Seward,2015-03-21,March,2015,M231,34,0.0232,0.3873,0.4105,5.6516,0.0025,0.0492,1.5572,0.0517,4.8356,0.0513,.,.,.,.,
Seward,2015-03-21,March,2015,M232,37,0.0861,0.6322,0.7183,11.9866,0.0074,0.066,2.2635,0.0734,10.0817,0.063,.,.,.,.,
Seward,2015-03-21,March,2015,M233,32,0.1357,0.6904,0.8261,16.4266,0.0206,0.099,1.6984,0.1196,17.2241,.,.,.,.,.,
